index,category,quality,format,compression,photo_type,lighting,artifact,platform_degradation,ethnicity,skin_tone,age,gender_presentation,background,edge_case,scene_subject,prompt
2631,face,medium,webp,43,paparazzi-style telephoto shot,flat overcast daylight,chromatic aberration,,African American,light skin,middle-aged,woman,inside a vehicle,face partially occluded,,"A paparazzi-style telephoto shot of a middle-aged African American woman with light skin in inside a vehicle, with flat overcast daylight, chromatic aberration, face partially occluded"
2632,face,medium,jpeg,42,professional studio portrait,backlit with rim lighting,digital zoom pixelation,as if saved from a YouTube video at 480p,West African,,middle-aged,man,office environment,wearing sunglasses,,"A professional studio portrait of a middle-aged West African man in office environment, with backlit with rim lighting, digital zoom pixelation, wearing sunglasses, as if saved from a YouTube video at 480p"
2633,face,medium,png,100,school yearbook photo,screen-lit in a dark room,heavy JPEG compression artifacts,as if shared on Twitter with reduced resolution,West African,light skin,elderly,man,home interior,face at sharp angle,,"A school yearbook photo of a elderly West African man with light skin in home interior, with screen-lit in a dark room, heavy JPEG compression artifacts, face at sharp angle, as if shared on Twitter with reduced resolution"
2634,face,low,png,100,drone aerial photo,candlelight,slight motion blur,,North African,,elderly,woman,hospital corridor,face at sharp angle,,"A drone aerial photo of a elderly North African woman in hospital corridor, with candlelight, slight motion blur, face at sharp angle"
2635,scene,high,png,100,low quality compressed webcam image,soft natural daylight,lens distortion,as if saved from a YouTube video at 480p,,,,,,,a beach with people,"A low quality compressed webcam image of a beach with people, with soft natural daylight, lens distortion, as if saved from a YouTube video at 480p"
2636,nature,medium,webp,47,underwater camera photo,flat overcast daylight,heavy JPEG compression artifacts,,,,,,,,a bridge over a river at twilight,"A underwater camera photo of a bridge over a river at twilight, with flat overcast daylight, heavy JPEG compression artifacts"
2637,nature,medium,jpeg,82,panoramic photo,direct flash,chromatic aberration,as if shared on Twitter with reduced resolution,,,,,,,a street sign at an intersection,"A panoramic photo of a street sign at an intersection, with direct flash, chromatic aberration, as if shared on Twitter with reduced resolution"
2638,nature,low,png,100,smartphone photo,backlit with rim lighting,,,,,,,,,a car parked on a suburban street,"A smartphone photo of a car parked on a suburban street, with backlit with rim lighting"
2639,face,high,png,100,tablet camera photo,direct flash,lens distortion,,East African,,middle-aged,man,cafe or restaurant,face partially in shadow,,"A tablet camera photo of a middle-aged East African man in cafe or restaurant, with direct flash, lens distortion, face partially in shadow"
2640,face,low,webp,92,old flip phone camera photo,harsh overhead fluorescent lighting,chromatic aberration,,Latino,,middle-aged,woman,bedroom,,,"A old flip phone camera photo of a middle-aged Latino woman in bedroom, with harsh overhead fluorescent lighting, chromatic aberration"
2641,nature,low,jpeg,63,night vision camera image,tungsten indoor lighting with warm cast,,,,,,,,,a narrow cobblestone alley between old buildings,"A night vision camera image of a narrow cobblestone alley between old buildings, with tungsten indoor lighting with warm cast"
2642,nature,medium,png,100,helmet-mounted camera capture,very low ambient light,slight motion blur,as if shared on Twitter with reduced resolution,,,,,,,a whiteboard with handwritten notes,"A helmet-mounted camera capture of a whiteboard with handwritten notes, with very low ambient light, slight motion blur, as if shared on Twitter with reduced resolution"
2643,face,low,png,100,smartphone photo,tungsten indoor lighting with warm cast,digital zoom pixelation,,Latino,,elderly,person,home interior,face reflected in mirror,,"A smartphone photo of a elderly Latino person in home interior, with tungsten indoor lighting with warm cast, digital zoom pixelation, face reflected in mirror"
2644,scene,medium,png,100,documentary-style photo,screen-lit in a dark room,overexposed highlights,as if forwarded on Telegram multiple times,,,,,,,a church congregation during service,"A documentary-style photo of a church congregation during service, with screen-lit in a dark room, overexposed highlights, as if forwarded on Telegram multiple times"
2645,scene,high,jpeg,96,dashcam footage,candlelight,heavy noise or grain,as if downloaded from Instagram,,,,,,,a concert audience,"A dashcam footage of a concert audience, with candlelight, heavy noise or grain, as if downloaded from Instagram"
2646,nature,low,webp,75,point-and-shoot digital camera photo,mixed indoor-outdoor lighting,,as if downloaded from Instagram,,,,,,,a savanna with acacia trees,"A point-and-shoot digital camera photo of a savanna with acacia trees, with mixed indoor-outdoor lighting, as if downloaded from Instagram"
2647,nature,medium,png,100,smartphone photo,neon lighting,,as if shared on WhatsApp with compression,,,,,,,a close-up of a handwritten letter on aged paper,"A smartphone photo of a close-up of a handwritten letter on aged paper, with neon lighting, as if shared on WhatsApp with compression"
2648,face,high,jpeg,92,paparazzi-style telephoto shot,screen-lit in a dark room,heavy noise or grain,,Middle Eastern,,elderly,person,outdoor park,extreme close-up,,"A paparazzi-style telephoto shot of a elderly Middle Eastern person in outdoor park, with screen-lit in a dark room, heavy noise or grain, extreme close-up"
2649,face,medium,webp,64,dating app profile photo,very low ambient light,chromatic aberration,,Afro-Caribbean,dark brown skin,elderly,man,government building,face mid-expression with motion blur,,"A dating app profile photo of a elderly Afro-Caribbean man with dark brown skin in government building, with very low ambient light, chromatic aberration, face mid-expression with motion blur"
2650,face,high,jpeg,87,documentary-style photo,blue hour twilight,chromatic aberration,,Northern European,very dark skin,young,woman,hospital corridor,face through glass,,"A documentary-style photo of a young Northern European woman with very dark skin in hospital corridor, with blue hour twilight, chromatic aberration, face through glass"
2651,face,low,jpeg,60,medium format film photo,golden hour sunlight,,,Northern European,very light skin,elderly,person,outdoor park,,,"A medium format film photo of a elderly Northern European person with very light skin in outdoor park, with golden hour sunlight"
2652,scene,medium,webp,66,photo of a screen showing another image,dramatic side lighting,slight motion blur,,,,,,,,a video call screenshot with multiple participants,"A photo of a screen showing another image of a video call screenshot with multiple participants, with dramatic side lighting, slight motion blur"
2653,scene,medium,jpeg,100,large format film photo,harsh overhead fluorescent lighting,,as if downloaded from Instagram,,,,,,,a music festival crowd at night,"A large format film photo of a music festival crowd at night, with harsh overhead fluorescent lighting, as if downloaded from Instagram"
2654,scene,medium,jpeg,30,real estate listing photo,backlit with rim lighting,,as if shared on WhatsApp with compression,,,,,,,a street market with vendors and shoppers,"A real estate listing photo of a street market with vendors and shoppers, with backlit with rim lighting, as if shared on WhatsApp with compression"
2655,face,low,webp,86,candid photo taken from a distance,nighttime artificial lighting,lens distortion,as if downloaded from Instagram,East Asian,very dark skin,young,person,stairwell,,,"A candid photo taken from a distance of a young East Asian person with very dark skin in stairwell, with nighttime artificial lighting, lens distortion, as if downloaded from Instagram"
2656,scene,low,webp,37,selfie,neon lighting,heavy JPEG compression artifacts,,,,,,,,a courtroom during a hearing,"A selfie of a courtroom during a hearing, with neon lighting, heavy JPEG compression artifacts"
2657,face,high,png,100,security camera CCTV footage,dramatic side lighting,lens distortion,as if forwarded on Telegram multiple times,Pacific Islander,olive skin,middle-aged,person,office environment,face partially in shadow,,"A security camera CCTV footage of a middle-aged Pacific Islander person with olive skin in office environment, with dramatic side lighting, lens distortion, face partially in shadow, as if forwarded on Telegram multiple times"
2658,face,high,webp,82,panoramic photo,harsh overhead fluorescent lighting,chromatic aberration,,Middle Eastern,,middle-aged,man,cafe or restaurant,face through glass,,"A panoramic photo of a middle-aged Middle Eastern man in cafe or restaurant, with harsh overhead fluorescent lighting, chromatic aberration, face through glass"
2659,nature,low,png,100,product photography on white background,soft natural daylight,digital zoom pixelation,as if screenshotted from TikTok,,,,,,,a cat sleeping on a windowsill,"A product photography on white background of a cat sleeping on a windowsill, with soft natural daylight, digital zoom pixelation, as if screenshotted from TikTok"
2660,scene,high,jpeg,55,smartphone photo,mixed indoor-outdoor lighting,digital zoom pixelation,as if downloaded from Instagram,,,,,,,a barbershop with customers waiting,"A smartphone photo of a barbershop with customers waiting, with mixed indoor-outdoor lighting, digital zoom pixelation, as if downloaded from Instagram"
2661,nature,low,jpeg,51,scanned printed photograph,mixed indoor-outdoor lighting,lens distortion,,,,,,,,a colorful row of townhouses,"A scanned printed photograph of a colorful row of townhouses, with mixed indoor-outdoor lighting, lens distortion"
2662,nature,low,png,100,black and white film photo,backlit with rim lighting,,as if downloaded from Instagram,,,,,,,a smartphone screen displaying a social media feed,"A black and white film photo of a smartphone screen displaying a social media feed, with backlit with rim lighting, as if downloaded from Instagram"
2663,nature,high,png,100,mirrorless camera photo,candlelight,digital zoom pixelation,,,,,,,,a volcanic landscape with steam vents,"A mirrorless camera photo of a volcanic landscape with steam vents, with candlelight, digital zoom pixelation"
2664,face,high,png,100,drone aerial photo,candlelight,color banding,as if shared on Twitter with reduced resolution,Middle Eastern,olive skin,young,woman,grocery store aisle,face reflected in mirror,,"A drone aerial photo of a young Middle Eastern woman with olive skin in grocery store aisle, with candlelight, color banding, face reflected in mirror, as if shared on Twitter with reduced resolution"
2665,face,low,jpeg,67,doorbell camera capture,blue hour twilight,lens distortion,,Southeast Asian,,middle-aged,person,government building,extreme close-up,,"A doorbell camera capture of a middle-aged Southeast Asian person in government building, with blue hour twilight, lens distortion, extreme close-up"
2666,face,medium,png,100,photo with Instagram-style filter applied,golden hour sunlight,,,Southern European,olive skin,middle-aged,person,outdoor park,multiple faces overlapping,,"A photo with Instagram-style filter applied of a middle-aged Southern European person with olive skin in outdoor park, with golden hour sunlight, multiple faces overlapping"
2667,nature,medium,png,100,thermal imaging camera capture,nighttime artificial lighting,slight motion blur,as if shared on WhatsApp with compression,,,,,,,a coral reef seen from below the water surface,"A thermal imaging camera capture of a coral reef seen from below the water surface, with nighttime artificial lighting, slight motion blur, as if shared on WhatsApp with compression"
2668,face,high,jpeg,54,paparazzi-style telephoto shot,soft natural daylight,inconsistent shadows,,Pacific Islander,,young,woman,elevator,,,"A paparazzi-style telephoto shot of a young Pacific Islander woman in elevator, with soft natural daylight, inconsistent shadows"
2669,scene,low,jpeg,59,underwater camera photo,tungsten indoor lighting with warm cast,,as if screenshotted from TikTok,,,,,,,a protest march with crowds,"A underwater camera photo of a protest march with crowds, with tungsten indoor lighting with warm cast, as if screenshotted from TikTok"
2670,scene,high,jpeg,40,security camera CCTV footage,blue hour twilight,heavy noise or grain,,,,,,,,a protest march with crowds,"A security camera CCTV footage of a protest march with crowds, with blue hour twilight, heavy noise or grain"
2671,face,high,jpeg,33,night vision camera image,blue hour twilight,inconsistent shadows,,Eastern European,light skin,young,woman,gym or fitness center,,,"A night vision camera image of a young Eastern European woman with light skin in gym or fitness center, with blue hour twilight, inconsistent shadows"
2672,face,low,webp,52,security camera CCTV footage,harsh overhead fluorescent lighting,slight motion blur,,Latino,medium skin,young,person,plain studio background,extreme close-up,,"A security camera CCTV footage of a young Latino person with medium skin in plain studio background, with harsh overhead fluorescent lighting, slight motion blur, extreme close-up"
2673,nature,medium,jpeg,97,scanned printed photograph,blue hour twilight,overexposed highlights,,,,,,,,a table with scattered documents and a coffee cup,"A scanned printed photograph of a table with scattered documents and a coffee cup, with blue hour twilight, overexposed highlights"
2674,face,high,jpeg,69,dashcam footage,neon lighting,heavy noise or grain,as if downloaded from Instagram,Pacific Islander,,middle-aged,man,cafe or restaurant,face very small in frame,,"A dashcam footage of a middle-aged Pacific Islander man in cafe or restaurant, with neon lighting, heavy noise or grain, face very small in frame, as if downloaded from Instagram"
2675,scene,medium,webp,99,night vision camera image,backlit with rim lighting,heavy JPEG compression artifacts,as if downloaded from Instagram,,,,,,,people walking through a shopping mall,"A night vision camera image of people walking through a shopping mall, with backlit with rim lighting, heavy JPEG compression artifacts, as if downloaded from Instagram"
2676,face,medium,png,100,photo with Instagram-style filter applied,harsh overhead fluorescent lighting,,,Central Asian,medium skin,elderly,woman,elevator,face very small in frame,,"A photo with Instagram-style filter applied of a elderly Central Asian woman with medium skin in elevator, with harsh overhead fluorescent lighting, face very small in frame"
2677,scene,high,png,100,dashcam footage,mixed indoor-outdoor lighting,,,,,,,,,a group photo at an event,"A dashcam footage of a group photo at an event, with mixed indoor-outdoor lighting"
2678,face,low,png,100,screen recording or screenshot,mixed indoor-outdoor lighting,slight motion blur,,Middle Eastern,,middle-aged,woman,stairwell,face at sharp angle,,"A screen recording or screenshot of a middle-aged Middle Eastern woman in stairwell, with mixed indoor-outdoor lighting, slight motion blur, face at sharp angle"
2679,face,medium,png,100,point-and-shoot digital camera photo,flat overcast daylight,slight motion blur,,East Asian,,young,man,plain studio background,face partially occluded,,"A point-and-shoot digital camera photo of a young East Asian man in plain studio background, with flat overcast daylight, slight motion blur, face partially occluded"
2680,scene,medium,webp,66,doorbell camera capture,dramatic side lighting,slight motion blur,,,,,,,,commuters on a subway car,"A doorbell camera capture of commuters on a subway car, with dramatic side lighting, slight motion blur"
2681,face,high,webp,80,passport photo or ID headshot,blue hour twilight,heavy noise or grain,as if screenshotted from TikTok,Northern European,,middle-aged,person,construction site,multiple faces overlapping,,"A passport photo or ID headshot of a middle-aged Northern European person in construction site, with blue hour twilight, heavy noise or grain, multiple faces overlapping, as if screenshotted from TikTok"
2682,face,medium,jpeg,54,early 2000s digital camera photo,blue hour twilight,heavy noise or grain,,Middle Eastern,,elderly,person,busy street,,,"A early 2000s digital camera photo of a elderly Middle Eastern person in busy street, with blue hour twilight, heavy noise or grain"
2683,scene,medium,jpeg,56,video still frame,backlit with rim lighting,color banding,,,,,,,,a busy city intersection,"A video still frame of a busy city intersection, with backlit with rim lighting, color banding"
2684,face,high,webp,94,mugshot-style photo,nighttime artificial lighting,color banding,,Northern European,,young,woman,dimly lit room,,,"A mugshot-style photo of a young Northern European woman in dimly lit room, with nighttime artificial lighting, color banding"
2685,nature,low,jpeg,64,thermal imaging camera capture,harsh overhead fluorescent lighting,heavy JPEG compression artifacts,as if saved from a YouTube video at 480p,,,,,,,a northern lights aurora over a snowy field,"A thermal imaging camera capture of a northern lights aurora over a snowy field, with harsh overhead fluorescent lighting, heavy JPEG compression artifacts, as if saved from a YouTube video at 480p"
2686,scene,low,jpeg,92,street photography shot,very low ambient light,slight motion blur,as if screenshotted from TikTok,,,,,,,a family gathering around a table,"A street photography shot of a family gathering around a table, with very low ambient light, slight motion blur, as if screenshotted from TikTok"
2687,face,medium,webp,49,medical clinical photo,mixed indoor-outdoor lighting,,as if shared on Twitter with reduced resolution,Southern European,very dark skin,elderly,man,parking garage,face very small in frame,,"A medical clinical photo of a elderly Southern European man with very dark skin in parking garage, with mixed indoor-outdoor lighting, face very small in frame, as if shared on Twitter with reduced resolution"
2688,nature,high,png,100,dashcam footage,very low ambient light,inconsistent shadows,,,,,,,,a receipt or invoice on a countertop,"A dashcam footage of a receipt or invoice on a countertop, with very low ambient light, inconsistent shadows"
2689,face,high,webp,85,medium format film photo,dappled shade under trees,heavy JPEG compression artifacts,as if shared on Twitter with reduced resolution,Northern European,brown skin,young,person,bathroom mirror,extreme close-up,,"A medium format film photo of a young Northern European person with brown skin in bathroom mirror, with dappled shade under trees, heavy JPEG compression artifacts, extreme close-up, as if shared on Twitter with reduced resolution"
2690,scene,medium,webp,54,security camera CCTV footage,direct flash,chromatic aberration,,,,,,,,children playing in a schoolyard,"A security camera CCTV footage of children playing in a schoolyard, with direct flash, chromatic aberration"
2691,face,high,webp,66,professional studio portrait,harsh overhead fluorescent lighting,digital zoom pixelation,,Southeast Asian,,young,person,outdoor park,face very small in frame,,"A professional studio portrait of a young Southeast Asian person in outdoor park, with harsh overhead fluorescent lighting, digital zoom pixelation, face very small in frame"
2692,face,high,jpeg,49,photo with Instagram-style filter applied,screen-lit in a dark room,heavy JPEG compression artifacts,,Southeast Asian,,middle-aged,man,inside a vehicle,face through glass,,"A photo with Instagram-style filter applied of a middle-aged Southeast Asian man in inside a vehicle, with screen-lit in a dark room, heavy JPEG compression artifacts, face through glass"
2693,face,medium,webp,67,dating app profile photo,backlit with rim lighting,,,Latino,brown skin,elderly,woman,bedroom,face partially occluded,,"A dating app profile photo of a elderly Latino woman with brown skin in bedroom, with backlit with rim lighting, face partially occluded"
2694,nature,medium,png,100,early 2000s digital camera photo,backlit with rim lighting,inconsistent shadows,,,,,,,,a subway station tunnel with graffiti,"A early 2000s digital camera photo of a subway station tunnel with graffiti, with backlit with rim lighting, inconsistent shadows"
2695,face,medium,jpeg,75,screen recording or screenshot,dappled shade under trees,overexposed highlights,as if forwarded on Telegram multiple times,East Asian,,elderly,woman,elevator,,,"A screen recording or screenshot of a elderly East Asian woman in elevator, with dappled shade under trees, overexposed highlights, as if forwarded on Telegram multiple times"
2696,nature,medium,webp,47,satellite imagery,tungsten indoor lighting with warm cast,heavy JPEG compression artifacts,,,,,,,,the interior of a car dashboard at night,"A satellite imagery of the interior of a car dashboard at night, with tungsten indoor lighting with warm cast, heavy JPEG compression artifacts"
2697,scene,high,png,100,GoPro wide-angle action shot,tungsten indoor lighting with warm cast,,as if forwarded on Telegram multiple times,,,,,,,a protest march with crowds,"A GoPro wide-angle action shot of a protest march with crowds, with tungsten indoor lighting with warm cast, as if forwarded on Telegram multiple times"
2698,nature,low,jpeg,70,dashcam footage,nighttime artificial lighting,,as if forwarded on Telegram multiple times,,,,,,,an old European cathedral exterior,"A dashcam footage of an old European cathedral exterior, with nighttime artificial lighting, as if forwarded on Telegram multiple times"
2699,face,low,webp,92,old flip phone camera photo,direct flash,,,Middle Eastern,,elderly,man,gym or fitness center,,,"A old flip phone camera photo of a elderly Middle Eastern man in gym or fitness center, with direct flash"
2700,nature,high,webp,81,product photography on white background,nighttime artificial lighting,,,,,,,,,a canyon with red rock formations,"A product photography on white background of a canyon with red rock formations, with nighttime artificial lighting"
2701,face,low,png,100,medical clinical photo,neon lighting,chromatic aberration,,Pacific Islander,,middle-aged,woman,parking garage,face on a screen within the image,,"A medical clinical photo of a middle-aged Pacific Islander woman in parking garage, with neon lighting, chromatic aberration, face on a screen within the image"
2702,face,high,png,100,paparazzi-style telephoto shot,golden hour sunlight,lens distortion,as if screenshotted from TikTok,Middle Eastern,olive skin,young,man,grocery store aisle,,,"A paparazzi-style telephoto shot of a young Middle Eastern man with olive skin in grocery store aisle, with golden hour sunlight, lens distortion, as if screenshotted from TikTok"
2703,face,low,webp,83,school yearbook photo,screen-lit in a dark room,overexposed highlights,,Central Asian,,elderly,person,dimly lit room,,,"A school yearbook photo of a elderly Central Asian person in dimly lit room, with screen-lit in a dark room, overexposed highlights"
2704,scene,medium,jpeg,33,photo taken of a TV screen,screen-lit in a dark room,heavy JPEG compression artifacts,,,,,,,,a gym with people exercising,"A photo taken of a TV screen of a gym with people exercising, with screen-lit in a dark room, heavy JPEG compression artifacts"
2705,nature,low,png,100,real estate listing photo,harsh overhead fluorescent lighting,heavy noise or grain,,,,,,,,a street sign at an intersection,"A real estate listing photo of a street sign at an intersection, with harsh overhead fluorescent lighting, heavy noise or grain"
2706,nature,medium,webp,50,dashcam footage,harsh overhead fluorescent lighting,,,,,,,,,a neon-lit street in a city at night,"A dashcam footage of a neon-lit street in a city at night, with harsh overhead fluorescent lighting"
2707,face,high,png,100,candid photo taken from a distance,very low ambient light,color banding,as if shared on WhatsApp with compression,South Asian,,young,man,stairwell,,,"A candid photo taken from a distance of a young South Asian man in stairwell, with very low ambient light, color banding, as if shared on WhatsApp with compression"
2708,face,low,png,100,video still frame,neon lighting,heavy JPEG compression artifacts,,East African,,middle-aged,person,bedroom,,,"A video still frame of a middle-aged East African person in bedroom, with neon lighting, heavy JPEG compression artifacts"
2709,nature,medium,png,100,point-and-shoot digital camera photo,screen-lit in a dark room,heavy noise or grain,,,,,,,,a bird perched on a fence,"A point-and-shoot digital camera photo of a bird perched on a fence, with screen-lit in a dark room, heavy noise or grain"
2710,face,low,webp,83,large format film photo,backlit with rim lighting,lens distortion,as if screenshotted from TikTok,African American,,young,person,home interior,multiple faces overlapping,,"A large format film photo of a young African American person in home interior, with backlit with rim lighting, lens distortion, multiple faces overlapping, as if screenshotted from TikTok"
2711,scene,high,png,100,photo of a screen showing another image,neon lighting,slight motion blur,as if forwarded on Telegram multiple times,,,,,,,a restaurant interior with diners,"A photo of a screen showing another image of a restaurant interior with diners, with neon lighting, slight motion blur, as if forwarded on Telegram multiple times"
2712,face,high,jpeg,34,HDR photo with tone-mapped highlights,blue hour twilight,heavy JPEG compression artifacts,as if forwarded on Telegram multiple times,Latino,,young,woman,parking garage,face reflected in mirror,,"A HDR photo with tone-mapped highlights of a young Latino woman in parking garage, with blue hour twilight, heavy JPEG compression artifacts, face reflected in mirror, as if forwarded on Telegram multiple times"
2713,face,high,png,100,Polaroid instant photo,direct flash,inconsistent shadows,as if forwarded on Telegram multiple times,East Asian,brown skin,young,woman,grocery store aisle,face mid-expression with motion blur,,"A Polaroid instant photo of a young East Asian woman with brown skin in grocery store aisle, with direct flash, inconsistent shadows, face mid-expression with motion blur, as if forwarded on Telegram multiple times"
2714,face,low,jpeg,100,panoramic photo,soft natural daylight,chromatic aberration,as if forwarded on Telegram multiple times,East Asian,,young,woman,construction site,face mid-expression with motion blur,,"A panoramic photo of a young East Asian woman in construction site, with soft natural daylight, chromatic aberration, face mid-expression with motion blur, as if forwarded on Telegram multiple times"
2715,nature,high,png,100,panoramic photo,flat overcast daylight,,,,,,,,,a smartphone screen displaying a social media feed,"A panoramic photo of a smartphone screen displaying a social media feed, with flat overcast daylight"
2716,face,high,webp,35,photo of a screen showing another image,harsh overhead fluorescent lighting,,as if screenshotted from TikTok,Latino,dark brown skin,young,woman,government building,face reflected in mirror,,"A photo of a screen showing another image of a young Latino woman with dark brown skin in government building, with harsh overhead fluorescent lighting, face reflected in mirror, as if screenshotted from TikTok"
2717,face,high,jpeg,91,video still frame,dramatic side lighting,inconsistent shadows,as if shared on Twitter with reduced resolution,Pacific Islander,very light skin,young,person,grocery store aisle,face on a screen within the image,,"A video still frame of a young Pacific Islander person with very light skin in grocery store aisle, with dramatic side lighting, inconsistent shadows, face on a screen within the image, as if shared on Twitter with reduced resolution"
2718,nature,medium,png,100,photo of a screen showing another image,mixed indoor-outdoor lighting,lens distortion,as if forwarded on Telegram multiple times,,,,,,,a volcanic landscape with steam vents,"A photo of a screen showing another image of a volcanic landscape with steam vents, with mixed indoor-outdoor lighting, lens distortion, as if forwarded on Telegram multiple times"
2719,face,medium,webp,36,dashcam footage,dappled shade under trees,slight motion blur,as if shared on Twitter with reduced resolution,East Asian,,elderly,person,busy street,multiple faces overlapping,,"A dashcam footage of a elderly East Asian person in busy street, with dappled shade under trees, slight motion blur, multiple faces overlapping, as if shared on Twitter with reduced resolution"
2720,face,low,png,100,photo taken of a TV screen,blue hour twilight,chromatic aberration,as if shared on Twitter with reduced resolution,Latino,,middle-aged,woman,rooftop with skyline,,,"A photo taken of a TV screen of a middle-aged Latino woman in rooftop with skyline, with blue hour twilight, chromatic aberration, as if shared on Twitter with reduced resolution"
2721,face,high,jpeg,75,infrared camera image,dramatic side lighting,digital zoom pixelation,,Latino,,young,person,elevator,face partially in shadow,,"A infrared camera image of a young Latino person in elevator, with dramatic side lighting, digital zoom pixelation, face partially in shadow"
2722,face,low,webp,63,helmet-mounted camera capture,tungsten indoor lighting with warm cast,overexposed highlights,,Eastern European,dark brown skin,middle-aged,person,elevator,,,"A helmet-mounted camera capture of a middle-aged Eastern European person with dark brown skin in elevator, with tungsten indoor lighting with warm cast, overexposed highlights"
2723,nature,medium,jpeg,64,DSLR photo,candlelight,chromatic aberration,,,,,,,,a handwritten note on a refrigerator,"A DSLR photo of a handwritten note on a refrigerator, with candlelight, chromatic aberration"
2724,nature,high,webp,64,product photography on white background,blue hour twilight,lens distortion,,,,,,,,a protest sign with hand-painted text,"A product photography on white background of a protest sign with hand-painted text, with blue hour twilight, lens distortion"
2725,nature,high,webp,37,DSLR photo,direct flash,color banding,,,,,,,,an old European cathedral exterior,"A DSLR photo of an old European cathedral exterior, with direct flash, color banding"
2726,scene,low,jpeg,99,scanned printed photograph,mixed indoor-outdoor lighting,slight motion blur,,,,,,,,a graduation ceremony audience,"A scanned printed photograph of a graduation ceremony audience, with mixed indoor-outdoor lighting, slight motion blur"
2727,scene,high,webp,61,product photography on white background,screen-lit in a dark room,heavy noise or grain,as if shared on Twitter with reduced resolution,,,,,,,a restaurant interior with diners,"A product photography on white background of a restaurant interior with diners, with screen-lit in a dark room, heavy noise or grain, as if shared on Twitter with reduced resolution"
2728,scene,high,png,100,product photography on white background,neon lighting,slight motion blur,as if saved from a YouTube video at 480p,,,,,,,a restaurant interior with diners,"A product photography on white background of a restaurant interior with diners, with neon lighting, slight motion blur, as if saved from a YouTube video at 480p"
2729,scene,low,webp,59,night vision camera image,backlit with rim lighting,lens distortion,as if shared on WhatsApp with compression,,,,,,,a classroom full of students,"A night vision camera image of a classroom full of students, with backlit with rim lighting, lens distortion, as if shared on WhatsApp with compression"
2730,face,low,jpeg,50,tablet camera photo,flat overcast daylight,,,Middle Eastern,,elderly,woman,parking garage,face mid-expression with motion blur,,"A tablet camera photo of a elderly Middle Eastern woman in parking garage, with flat overcast daylight, face mid-expression with motion blur"
2731,scene,medium,webp,77,scanned printed photograph,very low ambient light,,as if forwarded on Telegram multiple times,,,,,,,a church congregation during service,"A scanned printed photograph of a church congregation during service, with very low ambient light, as if forwarded on Telegram multiple times"
2732,face,low,png,100,infrared camera image,soft natural daylight,,as if screenshotted from TikTok,Afro-Caribbean,,young,man,elevator,face mid-expression with motion blur,,"A infrared camera image of a young Afro-Caribbean man in elevator, with soft natural daylight, face mid-expression with motion blur, as if screenshotted from TikTok"
2733,face,medium,png,100,photo taken of a TV screen,dappled shade under trees,overexposed highlights,as if shared on WhatsApp with compression,Pacific Islander,,young,person,grocery store aisle,,,"A photo taken of a TV screen of a young Pacific Islander person in grocery store aisle, with dappled shade under trees, overexposed highlights, as if shared on WhatsApp with compression"
2734,face,high,webp,60,webcam image from a video call,very low ambient light,digital zoom pixelation,as if shared on WhatsApp with compression,Afro-Caribbean,medium skin,middle-aged,woman,conference stage,,,"A webcam image from a video call of a middle-aged Afro-Caribbean woman with medium skin in conference stage, with very low ambient light, digital zoom pixelation, as if shared on WhatsApp with compression"
2735,face,low,png,100,mirrorless camera photo,mixed indoor-outdoor lighting,chromatic aberration,as if saved from a YouTube video at 480p,East Asian,very light skin,young,man,inside a vehicle,wearing sunglasses,,"A mirrorless camera photo of a young East Asian man with very light skin in inside a vehicle, with mixed indoor-outdoor lighting, chromatic aberration, wearing sunglasses, as if saved from a YouTube video at 480p"
2736,face,high,webp,34,black and white film photo,dappled shade under trees,,as if shared on Twitter with reduced resolution,West African,,middle-aged,person,cafe or restaurant,face at sharp angle,,"A black and white film photo of a middle-aged West African person in cafe or restaurant, with dappled shade under trees, face at sharp angle, as if shared on Twitter with reduced resolution"
2737,face,low,jpeg,70,medical clinical photo,screen-lit in a dark room,lens distortion,,Northern European,,young,man,bathroom mirror,multiple faces overlapping,,"A medical clinical photo of a young Northern European man in bathroom mirror, with screen-lit in a dark room, lens distortion, multiple faces overlapping"
2738,nature,medium,png,100,satellite imagery,screen-lit in a dark room,color banding,,,,,,,,a colorful row of townhouses,"A satellite imagery of a colorful row of townhouses, with screen-lit in a dark room, color banding"
2739,face,high,png,100,panoramic photo,flat overcast daylight,,,Pacific Islander,,elderly,woman,government building,multiple faces overlapping,,"A panoramic photo of a elderly Pacific Islander woman in government building, with flat overcast daylight, multiple faces overlapping"
2740,face,medium,jpeg,94,mirrorless camera photo,nighttime artificial lighting,,as if shared on Twitter with reduced resolution,South Asian,light skin,elderly,man,plain studio background,wearing sunglasses,,"A mirrorless camera photo of a elderly South Asian man with light skin in plain studio background, with nighttime artificial lighting, wearing sunglasses, as if shared on Twitter with reduced resolution"
2741,scene,high,jpeg,71,large format film photo,candlelight,color banding,as if downloaded from Instagram,,,,,,,a hospital waiting room,"A large format film photo of a hospital waiting room, with candlelight, color banding, as if downloaded from Instagram"
2742,face,low,webp,32,street photography shot,screen-lit in a dark room,heavy noise or grain,as if saved from a YouTube video at 480p,Pacific Islander,,elderly,person,busy street,,,"A street photography shot of a elderly Pacific Islander person in busy street, with screen-lit in a dark room, heavy noise or grain, as if saved from a YouTube video at 480p"
